"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"0","Aaron Taylor","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Aaron%20Taylor%20-%2017%20August%202020.pdf","pdf","","",""
"1","ABARES","https://www.accc.gov.au/system/files/ABARES.pdf","pdf","","",""
"2","Adrian Tourle","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-Adrian%20Tourle%20-sub%20only-%206%20October%202020_Redacted.pdf","pdf","","",""
"3","Almond Board of Australia","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Almond%20Board%20of%20Australia%20-%2030%20October%202020.pdf","pdf","","",""
"4","Argyle Capital Partners","https://www.accc.gov.au/system/files/20201030%20ACCC%20water%20interim%20report%20Argyle.pdf","pdf","","",""
"5","ASIC","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20%20ASIC%20-%2019%20November%202020.pdf","pdf","","",""
"6","Australian Dairy Industry Council","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Australian%20Dairy%20Industry%20Council%20-%2030%20October%202020.pdf","pdf","","",""
"7","Australian Water Brokers Association Inc","https://www.accc.gov.au/system/files/Australian%20Water%20Brokers%20Association%20Inc%20-%2030%20October%202020_.pdf","pdf","","",""
"8","Aware Water Group Pty Ltd","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Aware%20Water%20Group%20Pty%20Ltd%20-%20%28sub%20only%29%2028%20August%202020.pdf","pdf","","",""
"9","Bill Robertson","https://www.accc.gov.au/system/files/Bill%20Robertson.pdf","pdf","","",""
"10","Cameron Reid","https://www.accc.gov.au/system/files/Cameron%20Reid.pdf","pdf","","",""
"11","Cavaso Farming","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Cavaso%20Farming%20%28sub%20only%29%202%20October%202020_.pdf","pdf","","",""
"12","Central Irrigation Trust","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Central%20Irrigation%20Trust%20%28CIT%29%20sub%20only%20-%2028%20August%202020.pdf","pdf","","",""
"13","Charles Sturt University","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Charles%20Sturt%20University%20-%20%28sub%20only%29%2028%20August%202020.pdf","pdf","","",""
"14","Chris Guest","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Chris%20Guest%20-%2028%20August%202020.pdf","pdf","","",""
"15","Citrus Australia","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-Citrus%20Australia-%20%2030%20October%202020.pdf","pdf","","",""
"16","Coleambally Irrigation Co-operative Limited","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Coleambally%20Irrigation%20Co-operative%20Limited%20-%207%20October%202020.pdf","pdf","","",""
"17","Commonwealth Scientific and Industrial Research Organisation (CSIRO)","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20CSIRO%20%28sub%20only%29%20-04%20September%202020.pdf","pdf","","",""
"18","Cotton Australia","https://www.accc.gov.au/system/files/Water%20Inquiry%20-Submission%20-%20%20Cotton%20Australia%20-%2030%20October%202020.pdf","pdf","","",""
"19","Damian Crowe - Submission A","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Damian%20Crowe%20-%2010%20August%202020_Redacted.pdf","pdf","","",""
"20","Damian Crowe - Submission B","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Damian%20Crowe%20-%2015%20August%202020_Redacted.pdf","pdf","","",""
"21","Darren Kennedy","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Darren%20Kennedy%20-%2017%20August%202020_Redacted.pdf","pdf","","",""
"22","David Tribe","https://www.accc.gov.au/system/files/David%20Tribe.pdf","pdf","","",""
"23","Dr Lana Hartwig & Professor Sue Jackson","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Dr%20Lana%20Hartwig%20and%20Sue%20Jackson%20-%2028%20October%202020.pdf","pdf","","",""
"24","Frances Pietroboni","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Frances%20Pietroboni%20-%28sub%20only%29%2022%20August%202020_Redacted.pdf","pdf","","",""
"25","Gavan and Bernardine Robinson","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Gavan%20and%20Bernardine%20Robinson%20-%20%28sub%20only%29%2025%20August%202020.pdf","pdf","","",""
"26","Gavin Dehne - Submission A","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Gavin%20Dehne%20-%2017%20August%202020.pdf","pdf","","",""
"27","Gavin Dehne - Submission B","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Gavin%20Dehne%20%20-%2030%20October%202020.pdf","pdf","","",""
"28","Geoff Leamon","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Geoff%20Leamon%20-%2019%20September%202020.pdf","pdf","","",""
"29","goFARM Australia Pty Ltd","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20goFARM%20Australia%20Pty%20Ltd%20-20%20October%202020.pdf","pdf","","",""
"30","Government of South Australia - Department for Environment and Water","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Department%20for%20Environment%20and%20Water%20-%2029%20October%202020.pdf","pdf","","",""
"31","Greater Shepparton City Council","https://www.accc.gov.au/system/files/Greater%20Shepparton%20City%20Council.pdf","pdf","","",""
"32","Greg Watkins","https://www.accc.gov.au/system/files/Greg%20Watkins.pdf","pdf","","",""
"33","Griffith City Council","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-Griffith%20City%20Council%20-%28sub%20only%29%20-%2018%20September%202020.pdf","pdf","","",""
"34","H2OX","https://www.accc.gov.au/system/files/H2OX%20Submission%20to%20the%20Interim%20Report.pdf","pdf","","",""
"35","Horne Legal","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20%20Horne%20Legal%20-%2012%20January%202021.pdf","pdf","","",""
"36","Ian Kidman","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20%20Ian%20Kidman%20-%2018%20September%202020_Redacted.pdf","pdf","","",""
"37","Independent Pricing and Regulatory Tribunal","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20IPART-%20%2030%20October%202020.pdf","pdf","","",""
"38","Jeremy Morton","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Jeremy%20Morton%20-%202%20November%202020_Redacted.pdf","pdf","","",""
"39","Jodie Hay","https://www.accc.gov.au/system/files/Jodie%20Hay_.pdf","pdf","","",""
"40","John Brian","https://www.accc.gov.au/system/files/John%20Brian_Redacted.pdf","pdf","","",""
"41","Joy Boucher, Narelle Pratt, Jamie Park - Submission A","https://www.accc.gov.au/system/files/Joy%20Boucher%2C%20Narelle%20Pratt%2C%20Jamie%20Park%20-%20Submission%20A.pdf","pdf","","",""
