"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"0","AJ and MH Spiers","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20AJ%20and%20MH%20Spiers.pdf","pdf","","",""
"1","Almond Board of Australia","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Almond%20Board%20of%20Australia%20-%206%20December%202019%20%281%29.pdf","pdf","","",""
"2","Andrew Hermiston","https://www.accc.gov.au/system/files/_pdf_Water%20Inquiry%20-%20Submission%20-%20Andrew%20Hermiston%20-%2029%20Nov%2019.pdf","pdf","","",""
"3","Arthur Latta and David Sexton","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Arthur%20Latta%20and%20David%20Sexton_0.pdf","pdf","","",""
"4","Australian Dairy Industry Council Inc","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-Submission%20-%20%20Australian%20Dairy%20Industry%20Council%20Inc.%20%28ADIC%29%20-%2029%20Nov%2019.pdf","pdf","","",""
"5","Australian Farming Services","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Australian%20Farming%20Services%20-%2029%20Nov%2019.pdf","pdf","","",""
"6","Australian Grape and Wine Incorporated","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Australian%20Grape%20and%20Wine%20Incorporated%20-%2029%20Nov%2019.pdf","pdf","","",""
"7","Australian Small Business and Family Enterprise Ombudsman","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Australian%20Small%20Business%20and%20Family%20Enterprise%20Ombudsman%20-%2028%20Nov%2019.pdf","pdf","","",""
"8","Australian Water Brokers Association","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20AWBA%20-%206%20December%202019.pdf","pdf","","",""
"9","Aware Water","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Aware%20Water%20-%2028%20Nov%2019.pdf","pdf","","",""
"10","AWS Asia-Pacific","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20AWS%20Asia-Pacific%20-%2029%20Nov%2019.pdf","pdf","","",""
"11","Barossa Infrastructure Limited","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Barossa%20Infrastructure%20Limited%20-%2028%20Nov%2019.pdf","pdf","","",""
"12","Beaumah Pastoral Co Pty Ltd","https://www.accc.gov.au/system/files/_pdf_Water%20Inquiry%20-%20Submission%20-%20%20Beaumah%20Pastoral%20Co%20Pty%20Ltd%20-%2006%20Nov%2019.pdf","pdf","","",""
"13","Bega Cheese","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20Bega%20Cheese%20-%2025%20Nov%2019.pdf","pdf","","",""
"14","Berrigan Shire Council","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Berrigan%20Shire%20Council%20-%2029%20Nov%2019.pdf","pdf","","",""
"15","Brian Englefield","https://www.accc.gov.au/system/files/PDF_Water%20inquiry%20-%20Submission%20-%20Brian%20Englefield%20-%2027%20November%202019.pdf","pdf","","",""
"16","Central Irrigation Trust","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Central%20Irrigation%20Trust%20-%2022%20November%202019.pdf","pdf","","",""
"17","Chris Bagley","https://www.accc.gov.au/system/files/_Redacted_Water%20inquiry%20-%20Submission%20-%20Chris%20Bagley%20-%2022%20November%202019.pdf","pdf","","",""
"18","Citrus Australia","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Citrus%20Australia%20-%2020%20December%202019%20%28Updated%20version%29.pdf","pdf","","",""
"19","Civic Ledger","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Civic%20Ledger%20-%2027%20January%202020.pdf","pdf","","",""
"20","Clinton Campbell","https://www.accc.gov.au/system/files/redacted_Water%20Inquiry%20-%20Submission%20-%20Clinton%20Campbell%20-%206%20December%202019.pdf","pdf","","",""
"21","Coleambally Irrigation Co-operative Ltd","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Coleambally%20Irrigation%20Co-operative%20Ltd%20-%2029%20November%202019.pdf","pdf","","",""
"22","Commonwealth Environmental Water Holder","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20CEWH%20-%2011%20December%202019%20%281%29.pdf","pdf","","",""
