"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"1","Liberal Party of Australia (Vic - Mildura) Water Advisory Committee","https://www.pc.gov.au/__data/assets/pdf_file/0004/226552/sub001-basin-plan.pdf","pdf","","",""
"2","Brewarrina Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0005/226553/sub002-basin-plan.pdf","pdf","","",""
"3","Patrick Johnston","https://www.pc.gov.au/__data/assets/pdf_file/0004/226894/sub003-basin-plan.pdf","pdf","","",""
"4","Brian Bycroft","https://www.pc.gov.au/__data/assets/pdf_file/0006/226896/sub004-basin-plan.pdf","pdf","","",""
"5","Murrumbidgee Valley Food and Fibre Association (MVFFA)","https://www.pc.gov.au/__data/assets/pdf_file/0005/227282/sub005-basin-plan.pdf","pdf","","",""
"6","Frances Pietroboni","https://www.pc.gov.au/__data/assets/pdf_file/0007/227284/sub006-basin-plan.pdf","pdf","","",""
"7","Country Mayors Association of New South Wales","https://www.pc.gov.au/__data/assets/pdf_file/0008/227285/sub007-basin-plan.pdf","pdf","","",""
"8","Paul Connellan","https://www.pc.gov.au/__data/assets/pdf_file/0009/227286/sub008-basin-plan.pdf","pdf","","",""
"9","Jan Beer","https://www.pc.gov.au/__data/assets/pdf_file/0011/227288/sub009-basin-plan.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0005/227291/sub009-basin-plan-attachment1.pdf|https://www.pc.gov.au/__data/assets/word_doc/0006/227292/sub009-basin-plan-attachment1.docx","",""
"10","Senator David Leyonhjelm","https://www.pc.gov.au/__data/assets/pdf_file/0007/227293/sub010-basin-plan.pdf","pdf","","",""
"11","Bill Bagley","https://www.pc.gov.au/__data/assets/pdf_file/0009/227295/sub011-basin-plan.pdf","pdf","","",""
"12","Matthew Colloff - John Williams and R Quentin Grafton","https://www.pc.gov.au/__data/assets/pdf_file/0011/227297/sub012-basin-plan.pdf","pdf","","",""
"13","Goulburn Valley Environment Group (GVEG)","https://www.pc.gov.au/__data/assets/pdf_file/0003/227298/sub013-basin-plan.pdf","pdf","","",""
