"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"DR90","Brian Bycroft","https://www.pc.gov.au/__data/assets/pdf_file/0004/231493/subdr090-basin-plan.pdf","pdf","","",""
"DR91","National Irrigators Council (NIC)","https://www.pc.gov.au/__data/assets/pdf_file/0006/231495/subdr091-basin-plan.pdf","pdf","","",""
"DR92","Australian Food and Agriculture Company Ltd (AFA)","https://www.pc.gov.au/__data/assets/pdf_file/0005/231764/subdr092-basin-plan.pdf","pdf","","",""
"DR93","Murray Darling Association (MDA)","https://www.pc.gov.au/__data/assets/pdf_file/0006/231765/subdr093-basin-plan.pdf","pdf","","",""
"DR94","Alistair Watson","https://www.pc.gov.au/__data/assets/pdf_file/0010/232012/subdr094-basin-plan.pdf","pdf","","",""
"DR95","Anne E Jensen","https://www.pc.gov.au/__data/assets/pdf_file/0012/232014/subdr095-basin-plan.pdf","pdf","","",""
"DR96","Jan Beer and Ken Pattison","https://www.pc.gov.au/__data/assets/pdf_file/0013/232015/subdr096-basin-plan.pdf","pdf","","",""
"DR97","Senator David Leyonhjelm","https://www.pc.gov.au/__data/assets/pdf_file/0015/232017/subdr097-basin-plan.pdf","pdf","","",""
"DR98","Quentin Grafton, Sarah Wheeler, John Williams, Matthew Colloff, Jeff Connor, Lin Crase, Darla Hatton MacDonald, Richard Kingsford and John Quiggin","https://www.pc.gov.au/__data/assets/pdf_file/0017/232019/subdr098-basin-plan.pdf","pdf","","",""
"DR99","Ann Lucas","https://www.pc.gov.au/__data/assets/pdf_file/0014/232070/subdr099-basin-plan.pdf","pdf","","",""
"DR100","Murray Darling Association Region 6 (MDA-R6)","https://www.pc.gov.au/__data/assets/pdf_file/0016/232072/subdr100-basin-plan.pdf","pdf","","",""
"DR101","Riverina and Murray Joint Organisation (RAMJO)","https://www.pc.gov.au/__data/assets/pdf_file/0017/232073/subdr101-basin-plan.pdf","pdf","","",""
"DR102","Greater Shepparton City Council","https://www.pc.gov.au/__data/assets/pdf_file/0015/232080/subdr102-basin-plan.pdf","pdf","","",""
"DR103","Department of Agriculture and Water Resources","https://www.pc.gov.au/__data/assets/pdf_file/0017/232082/subdr103-basin-plan.pdf","pdf","","",""
"DR104","Healthy Rivers Dubbo","https://www.pc.gov.au/__data/assets/pdf_file/0018/232083/subdr104-basin-plan.pdf","pdf","","",""
"DR105","Inland Rivers Network","https://www.pc.gov.au/__data/assets/pdf_file/0019/232084/subdr105-basin-plan.pdf","pdf","","",""
"DR106","Meridian Energy Australia","https://www.pc.gov.au/__data/assets/pdf_file/0020/232085/subdr106-basin-plan.pdf","pdf","","",""
"DR107","South West Water Users (SWWU)","https://www.pc.gov.au/__data/assets/pdf_file/0003/232086/subdr107-basin-plan.pdf","pdf","","",""
"DR108","Patrick Connolly","https://www.pc.gov.au/__data/assets/pdf_file/0019/232093/subdr108-basin-plan.pdf","pdf","","",""
"DR109","Leeton Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0020/232094/subdr109-basin-plan.pdf","pdf","","",""
"DR110","Commonwealth Environmental Water Holder (CEWH)","https://www.pc.gov.au/__data/assets/pdf_file/0003/232095/subdr110-basin-plan.pdf","pdf","","",""
"DR111","Mildura Rural City Council","https://www.pc.gov.au/__data/assets/pdf_file/0004/232096/subdr111-basin-plan.pdf","pdf","","",""
"DR112","David Arnold","https://www.pc.gov.au/__data/assets/pdf_file/0005/232097/subdr112-basin-plan.pdf","pdf","","",""
"DR113","Robert and Katharine McBride","https://www.pc.gov.au/__data/assets/pdf_file/0006/232098/subdr113-basin-plan.pdf","pdf","","",""
"DR114","Speak Up Campaign","https://www.pc.gov.au/__data/assets/pdf_file/0007/232099/subdr114-basin-plan.pdf","pdf","","",""
"DR115","Bob Newman","https://www.pc.gov.au/__data/assets/pdf_file/0008/232100/subdr115-basin-plan.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0011/232112/subdr115-basin-plan-attachment.pdf","",""
"DR116","Robert Campbell","https://www.pc.gov.au/__data/assets/pdf_file/0009/232101/subdr116-basin-plan.pdf","pdf","","",""
"DR117","Environment Victoria","https://www.pc.gov.au/__data/assets/pdf_file/0018/232128/subdr117-basin-plan.pdf","pdf","","",""
"DR118","Conservation Council of South Australia (Conservation SA)","https://www.pc.gov.au/__data/assets/pdf_file/0019/232129/subdr118-basin-plan.pdf","pdf","","",""
"DR119","Lachlan Valley Water (LVW)","https://www.pc.gov.au/__data/assets/pdf_file/0011/232130/subdr119-basin-plan.pdf","pdf","","",""
"DR120","Nature Conservation Council of NSW (NCC)","https://www.pc.gov.au/__data/assets/pdf_file/0012/232131/subdr120-basin-plan.pdf","pdf","","",""
"DR121","Fonterra Australia and Bonlac Supply Company","https://www.pc.gov.au/__data/assets/pdf_file/0013/232132/subdr121-basin-plan.pdf","pdf","","",""
"DR122","Wentworth Group of Concerned Scientists","https://www.pc.gov.au/__data/assets/pdf_file/0014/232133/subdr122-basin-plan.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0015/232134/subdr122-basin-plan-attachment.pdf","",""
"DR123","NSW Government","https://www.pc.gov.au/__data/assets/pdf_file/0016/232135/subdr123-basin-plan.pdf","pdf","","",""
"DR124","River Lakes and Coorong Action Group","https://www.pc.gov.au/__data/assets/pdf_file/0017/232136/subdr124-basin-plan.pdf","pdf","","",""
"DR125","Goulburn Valley Environment Group (GVEG)","https://www.pc.gov.au/__data/assets/pdf_file/0018/232137/subdr125-basin-plan.pdf","pdf","","",""
"DR126","EDOs of Australia (EDOA)","https://www.pc.gov.au/__data/assets/pdf_file/0012/232140/subdr126-basin-plan.pdf","pdf","","",""
"DR127","Victorian Farmers Federation (VFF)","https://www.pc.gov.au/__data/assets/pdf_file/0015/232143/subdr127-basin-plan.pdf","pdf","","",""
"DR128","New South Wales Irrigators Council (NSWIC)","https://www.pc.gov.au/__data/assets/pdf_file/0018/232272/subdr128-basin-plan.pdf","pdf","","",""
"DR129","National Farmers' Federation (NFF)","https://www.pc.gov.au/__data/assets/pdf_file/0019/232273/subdr129-basin-plan.pdf","pdf","","",""
"DR130","Narwie Partners","https://www.pc.gov.au/__data/assets/pdf_file/0020/232274/subdr130-basin-plan.pdf","pdf","","",""
"DR131","Bill McClumpha","https://www.pc.gov.au/__data/assets/pdf_file/0003/232275/subdr131-basin-plan.pdf","pdf","","",""
"DR132","Southern Riverina Irrigators (SRI)","https://www.pc.gov.au/__data/assets/pdf_file/0005/232277/subdr132-basin-plan.pdf","pdf","","",""
"DR133","Sarah Moles","https://www.pc.gov.au/__data/assets/pdf_file/0006/232278/subdr133-basin-plan.pdf","pdf","","",""
"DR134","Barrie MacMillan","https://www.pc.gov.au/__data/assets/pdf_file/0016/232306/subdr134-basin-plan.pdf","pdf","","",""
"DR135","NSW Aboriginal Land Council (NSWALC)","https://www.pc.gov.au/__data/assets/pdf_file/0017/232307/subdr135-basin-plan.pdf","pdf","","",""
"DR136","Murray-Darling Basin Authority (MDBA)","https://www.pc.gov.au/__data/assets/pdf_file/0018/232308/subdr136-basin-plan.pdf","pdf","","",""
"DR137","Louise Burge","https://www.pc.gov.au/__data/assets/pdf_file/0007/232459/subdr137-basin-plan.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0019/232462/subdr137-basin-plan-attachment.pdf|https://www.pc.gov.au/__data/assets/word_doc/0020/232463/subdr137-basin-plan-attachment.docx","",""
"DR138","Macquarie River Food and Fibre (MRFF)","https://www.pc.gov.au/__data/assets/pdf_file/0003/232464/subdr138-basin-plan.pdf","pdf","","",""
"DR139","Murray Lower Darling Rivers Indigenous Nations (MLDRIN)","https://www.pc.gov.au/__data/assets/pdf_file/0004/232465/subdr139-basin-plan.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0005/232466/subdr139-basin-plan-attachment1.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0006/232467/subdr139-basin-plan-attachment2.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0007/232468/subdr139-basin-plan-attachment3.pdf","",""
"DR140","SA Government","https://www.pc.gov.au/__data/assets/pdf_file/0014/232520/subdr140-basin-plan.pdf","pdf","","",""
"DR141","Ricegrowers' Association of Australia (RGA)","https://www.pc.gov.au/__data/assets/pdf_file/0015/232521/subdr141-basin-plan.pdf","pdf","","",""
"DR142","Victorian Government","https://www.pc.gov.au/__data/assets/pdf_file/0019/232525/subdr142-basin-plan.pdf","pdf","","",""
"DR143","Murray Irrigation","https://www.pc.gov.au/__data/assets/pdf_file/0010/232687/subdr143-basin-plan.pdf","pdf","","",""
