"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"1","Stephen Henty","https://www.pc.gov.au/__data/assets/pdf_file/0003/360984/sub001-basin-plan-2023.pdf","pdf","","",""
"2","Speak Up","https://www.pc.gov.au/__data/assets/pdf_file/0017/362105/sub002-basin-plan-2023.pdf","pdf","","",""
"3","Ben Blackburn Racing","https://www.pc.gov.au/__data/assets/pdf_file/0006/362364/sub003-basin-plan-2023.pdf","pdf","","",""
"4","Tuesday Browell","https://www.pc.gov.au/__data/assets/pdf_file/0019/362521/sub004-basin-plan-2023.pdf","pdf","","",""
"5","Ted Hatty","https://www.pc.gov.au/__data/assets/pdf_file/0003/362523/sub005-basin-plan-2023.pdf","pdf","","",""
"6","Central Murray Environmental Floodplains Group","https://www.pc.gov.au/__data/assets/pdf_file/0020/362630/sub006-basin-plan-2023.pdf","pdf","","",""
"7","Northern Victorian Irrigators (NVIC)","https://www.pc.gov.au/__data/assets/pdf_file/0003/362631/sub007-basin-plan-2023.pdf","pdf","","",""
"8","Friends of the Merbein Common","https://www.pc.gov.au/__data/assets/pdf_file/0018/363501/sub008-basin-plan-2023.pdf","pdf","","",""
"9","Lower Murray Water (LMW) Strategic Advisory Committee (SAC)","https://www.pc.gov.au/__data/assets/pdf_file/0020/363503/sub009-basin-plan-2023.pdf","pdf","","",""
"10","Ron McWhae","https://www.pc.gov.au/__data/assets/pdf_file/0003/363504/sub010-basin-plan-2023.pdf","pdf","","",""
"11","Val McWhae","https://www.pc.gov.au/__data/assets/pdf_file/0019/363511/sub011-basin-plan-2023.pdf","pdf","","",""
"12","Barry Croke","https://www.pc.gov.au/__data/assets/pdf_file/0008/365174/sub012-basin-plan-2023.pdf","pdf","","",""
"13","Australian River Restoration Centre (ARRC)","https://www.pc.gov.au/__data/assets/pdf_file/0010/365194/sub013-basin-plan-2023.pdf","pdf","","",""
"14","Fleur Thompson","https://www.pc.gov.au/__data/assets/pdf_file/0005/365270/sub014-basin-plan-2023.pdf","pdf","","",""
"15","River Lakes and Coorong Action Group","https://www.pc.gov.au/__data/assets/pdf_file/0007/365911/sub015-basin-plan-2023.pdf","pdf","","",""
"16","NSW South-West Water Users Association (SWWU)","https://www.pc.gov.au/__data/assets/pdf_file/0009/365913/sub016-basin-plan-2023.pdf","pdf","","",""
"17","Bureau of Meteorology","https://www.pc.gov.au/__data/assets/pdf_file/0016/366001/sub017-basin-plan-2023.pdf","pdf","","",""
"18","Griffith City Council","https://www.pc.gov.au/__data/assets/pdf_file/0017/366002/sub018-basin-plan-2023.pdf","pdf","","",""
"19","Mervyn John Gordon","https://www.pc.gov.au/__data/assets/pdf_file/0018/366003/sub019-basin-plan-2023.pdf","pdf","","",""
"20","Jeremy Cass","https://www.pc.gov.au/__data/assets/pdf_file/0006/366018/sub020-basin-plan-2023.pdf","pdf","","",""
