"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"1","Prof Lin Crase","https://www.pc.gov.au/__data/assets/pdf_file/0003/254496/sub001-water-reform-2020.pdf","pdf","","",""
"2","OneWater Advocates (OWA)","https://www.pc.gov.au/__data/assets/pdf_file/0015/255030/sub002-water-reform-2020.pdf","pdf","","",""
"3","Irrigation Australia","https://www.pc.gov.au/__data/assets/pdf_file/0010/255259/sub003-water-reform-2020.pdf","pdf","","",""
"4","Flow Systems ","https://www.pc.gov.au/__data/assets/pdf_file/0003/255261/sub004-water-reform-2020.pdf","pdf","","",""
"5","Dale Chapman","https://www.pc.gov.au/__data/assets/pdf_file/0004/255262/sub005-water-reform-2020.pdf","pdf","","",""
"6","Zero Mass Water Australia ","https://www.pc.gov.au/__data/assets/pdf_file/0005/255263/sub006-water-reform-2020.pdf","pdf","","",""
"7","Coleambally Irrigation Co-operative Limited (CICL)","https://www.pc.gov.au/__data/assets/pdf_file/0011/255368/sub007-water-reform-2020.pdf","pdf","","",""
"8","Jan Beer","https://www.pc.gov.au/__data/assets/pdf_file/0007/255373/sub008-water-reform-2020.pdf","pdf","","",""
"9","Jim Grayson","https://www.pc.gov.au/__data/assets/pdf_file/0009/255429/sub009-water-reform-2020.pdf","pdf","","",""
"10","Cooks River Alliance ","https://www.pc.gov.au/__data/assets/pdf_file/0020/255431/sub010-water-reform-2020.pdf","pdf","","",""
"11","TasWater","https://www.pc.gov.au/__data/assets/pdf_file/0005/255434/sub011-water-reform-2020.pdf","pdf","","",""
"12","Gladwin Legal","https://www.pc.gov.au/__data/assets/pdf_file/0019/255601/sub012-water-reform-2020.pdf","pdf","","",""
"13","National Irrigators’ Council (NIC)","https://www.pc.gov.au/__data/assets/pdf_file/0004/255604/sub013-water-reform-2020.pdf","pdf","","",""
"14","eWater","https://www.pc.gov.au/__data/assets/pdf_file/0007/255652/sub014-water-reform-2020.pdf","pdf","","",""
"15","International Association of Hydrogeologists (IAH)","https://www.pc.gov.au/__data/assets/pdf_file/0008/255653/sub015-water-reform-2020.pdf","pdf","","",""
"16","Professor Jim Pratley","https://www.pc.gov.au/__data/assets/pdf_file/0009/255654/sub016-water-reform-2020.pdf","pdf","","",""
"17","Northern Basin Aboriginal Nations (NBAN)","https://www.pc.gov.au/__data/assets/pdf_file/0010/255655/sub017-water-reform-2020.pdf","pdf","","",""
"18","South Australian Chamber of Mines and Energy (SACOME)","https://www.pc.gov.au/__data/assets/pdf_file/0011/255656/sub018-water-reform-2020.pdf","pdf","","",""
"19","Australian Forest Products Association (AFPA)","https://www.pc.gov.au/__data/assets/pdf_file/0003/255684/sub019-water-reform-2020.pdf","pdf","","",""
"20","Victorian Planning Authority (VPA)","https://www.pc.gov.au/__data/assets/pdf_file/0004/255685/sub020-water-reform-2020.pdf","pdf","","",""
