"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"0","Adrian Kidd","https://cdn.environment.sa.gov.au/environment/docs/adrian-kidd-water-advisory-committee-liberal-party-vic-mdb-rc-gen.pdf","pdf","","",""
"1","Alan Herath, SA","https://cdn.environment.sa.gov.au/environment/docs/alan-herath-sa-mdb-rc-gen.pdf","pdf","","",""
"2","Alastair Wood","https://cdn.environment.sa.gov.au/environment/docs/alastair-wood-sa-mdb-rc-gen.pdf","pdf","","",""
"3","Alistair Watson","https://cdn.environment.sa.gov.au/environment/docs/alistair-watson-vic-mdb-rc-gen.pdf","pdf","","",""
"4","Andrew Kelly","https://cdn.environment.sa.gov.au/environment/docs/andrew-kelly-west-corurgan-provate-irrigation-nsw-mdb-rc-gen.pdf","pdf","","",""
"5","Andrew Sneidze, SA","https://cdn.environment.sa.gov.au/environment/docs/andrew-sniedze-sa-mdb-rc-gen.pdf","pdf","","",""
"6","Anna Hooper","https://cdn.environment.sa.gov.au/environment/docs/anna-hooper-australian-vignerons-sa-mdb-rc-gen.pdf","pdf","","",""
"7","Anne Reeves","https://cdn.environment.sa.gov.au/environment/docs/anne-reeves-inland-rivers-network-nsw-mdb-rc-gen.pdf","pdf","","",""
"8","Antia Brademann","https://cdn.environment.sa.gov.au/environment/docs/antia-brademann-upper-murrumbidgee-reach-nsw-mdb-rc-gen.pdf","pdf","","",""
"9","Associate Professor Cameron Holley, UNSW Sydney | Associate Professor Darren Sinclair, University of Canberra | Dr Tariro Mutongwizo, UNSW Sydney | Amelia Brown, UNSW Sydney","https://cdn.environment.sa.gov.au/environment/docs/asso-prof-cholley-dsinclair-dr-tmutongwizo-abrown-act-nsw-mdb-rc-gen.pdf","pdf","","",""
"10","Associate Professor David Paton AM","","","","",""
"11","Austin Evans MP, NSW","https://cdn.environment.sa.gov.au/environment/docs/austin-evans-nsw-mdb-rc-gen.pdf","pdf","","",""
"12","Balonne Shire Council","","","","",""
"13","Barbara Webster, NSW","https://cdn.environment.sa.gov.au/environment/docs/barbara-webster-nsw-mdb-rc-gen.pdf","pdf","","",""
"14","Barbara Webster, NSW","https://cdn.environment.sa.gov.au/environment/docs/barbara-webster-nsw-issues-paper-2-mdb-rc-gen.pdf","pdf","","",""
"15","Barrie MacMillan, NSW","https://cdn.environment.sa.gov.au/environment/docs/barrie-macmillan-nsw-mdb-rc-gen.pdf","pdf","","",""
"16","Barry Croke","https://cdn.environment.sa.gov.au/environment/docs/barry-croke-vic-mdb-rc-gen.pdf","pdf","","",""
