"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"1","Cordoma Group","https://www.aph.gov.au/DocumentStore.ashx?id=2c3cccee-b9bd-43f9-bced-248667bc5520&subId=748560","pdf","","",""
"2","Professor Lin Crase","https://www.aph.gov.au/DocumentStore.ashx?id=aaa2e67e-41b8-41e8-9710-cfb9e202bc9f&subId=748195","pdf","","",""
"3","A&S Davoli","https://www.aph.gov.au/DocumentStore.ashx?id=3d8c3c60-55a7-4f74-be9d-6a6f25bdc8ae&subId=748561","pdf-mixed","","",""
"4","Cotton Australia","https://www.aph.gov.au/DocumentStore.ashx?id=40f0184f-ec4a-416d-928b-351383c6da2b&subId=748525","pdf","","",""
"5","Confidential","","","","",""
"6","Professor Glyn Wittwer","https://www.aph.gov.au/DocumentStore.ashx?id=35b6fb78-c829-4d94-8eb9-899b064433a2&subId=748623","pdf","","",""
"7","River, Lakes and Coorong Action Group","https://www.aph.gov.au/DocumentStore.ashx?id=068fe301-8015-473a-88c3-608c483d2971&subId=748642","pdf-mixed","","",""
"8","Mrs Rosa Hillam","https://www.aph.gov.au/DocumentStore.ashx?id=e2010406-020e-4a3f-8848-3797f9f9f7b5&subId=748805","pdf","","",""
"9","Upper Goulburn River Catchment Association","https://www.aph.gov.au/DocumentStore.ashx?id=f1091f13-a507-4635-94dd-a14f0ca97d7a&subId=748810","pdf","","",""
"10","Fonterra Australia","https://www.aph.gov.au/DocumentStore.ashx?id=769da86c-91c0-437a-ac0d-501e9f58df69&subId=748725","pdf","","",""
"11","Murray Darling Basin Authority","https://www.aph.gov.au/DocumentStore.ashx?id=dda5148b-3c3d-4604-9b67-ac3cc397c5a6&subId=748730","pdf-mixed","","",""
"12","Ricegrowers' Association of Australia Inc","https://www.aph.gov.au/DocumentStore.ashx?id=a22cf9a0-ebba-4b9e-9514-4feb8945d1d6&subId=748674","pdf","","",""
"13","Professor  Sarah Wheeler, Professor Quentin Grafton, Professor John Quiggin and  Professor Jeff Connor","https://www.aph.gov.au/DocumentStore.ashx?id=27503522-74c1-4c27-a872-dad77d7d6228&subId=748734","pdf","","",""
"14","Leeton Shire Council","https://www.aph.gov.au/DocumentStore.ashx?id=aa4c0de9-4535-410b-b086-3c858d3530c5&subId=748760","pdf","","",""
"15","Murray Regional Strategy Group","https://www.aph.gov.au/DocumentStore.ashx?id=9013df69-d35f-49f3-aa72-9295b48bda56&subId=748814","pdf","","",""
"16","Mr Richard Beasley SC, Commissioner for Murray River (SA)","https://www.aph.gov.au/DocumentStore.ashx?id=0400422f-f102-4920-b9f6-0605ca32bf85&subId=748767","pdf-ocr","","",""
